iter	RMSE
0	11409.08867
1	10272.74327
2	9294.048903
3	8386.444632
4	7625.928003
5	7004.256978
6	6505.636376
7	6087.54401
8	5722.117725
9	5446.818684
10	5193.043592
11	4958.805916
12	4772.650819
13	4589.953969
14	4446.493643
15	4304.573533
16	4216.502657
17	4152.831894
18	4072.999425
19	3991.066803
20	3917.194546
21	3853.669175
22	3810.574737
23	3751.057934
24	3698.633964
25	3656.931097
26	3601.531148
27	3554.219058
28	3500.252969
29	3464.966049
30	3431.830579
31	3412.351367
32	3402.674492
33	3377.875237
34	3328.35563
35	3300.377953
36	3251.472613
37	3230.204348
38	3200.996723
39	3171.799124
40	3158.284274
41	3155.946227
42	3145.500215
43	3128.680862
44	3090.866119
45	3058.339448
46	3042.700106
47	3023.149442
48	3000.323362
49	2994.491344
50	2988.192924
51	2975.363212
52	2957.063973
53	2919.412133
54	2877.225574
55	2861.857132
56	2846.471139
57	2832.834142
58	2802.344286
59	2763.738518
60	2725.138009
61	2703.355232
62	2694.879489
63	2676.710261
64	2663.675214
65	2654.702948
66	2638.215076
67	2626.776603
68	2608.429885
69	2593.104409
70	2582.169097
71	2558.249483
72	2537.718512
73	2507.304926
74	2499.872787
75	2480.358596
76	2478.309455
77	2459.449133
78	2433.280031
79	2416.36422
80	2388.734906
81	2381.039835
82	2374.101631
83	2349.602848
84	2343.420134
85	2325.169135
86	2316.353461
87	2290.678518
88	2289.344025
89	2274.457085
90	2269.391021
91	2257.283002
92	2233.946115
93	2221.801693
94	2214.049118
95	2203.778651
96	2192.83292
97	2177.914569
98	2158.891322
99	2151.039551
100	2133.232342
101	2123.767978
102	2105.269646
103	2090.511058
104	2079.528008
105	2075.874627
106	2067.460895
107	2052.686489
108	2047.673329
109	2037.298096
110	2026.552894
111	2022.709034
112	2010.969449
113	2005.252437
114	2000.958639
115	1992.231668
116	1979.262283
117	1966.886244
118	1956.893082
119	1947.709818
120	1935.47004
121	1933.241721
122	1927.848773
123	1917.183128
124	1909.113014
125	1902.875297
126	1899.016391
127	1886.065116
128	1879.531351
129	1869.622473
130	1863.211198
131	1859.46994
132	1852.82463
133	1849.971636
134	1838.579204
135	1834.244077
136	1824.973209
137	1816.587823
138	1810.498438
139	1805.800967
140	1796.752991
141	1790.067964
142	1783.938171
143	1777.553437
144	1770.669128
145	1762.535868
146	1759.293588
147	1749.973881
148	1739.184976
149	1731.462204
