iter	Passed	Remaining
0	2	394
1	5	385
2	8	435
3	11	423
4	14	411
5	16	402
6	19	396
7	22	403
8	25	397
9	27	385
10	29	377
11	32	371
12	34	365
13	37	367
14	40	368
15	43	364
16	45	358
17	47	350
18	50	347
19	53	345
20	56	346
21	58	342
22	61	336
23	63	333
24	65	329
25	68	325
26	71	323
27	73	320
28	75	316
29	78	313
30	80	309
31	83	307
32	85	301
33	87	299
34	90	296
35	92	292
36	94	289
37	97	286
38	99	284
39	102	282
40	105	279
41	106	272
42	107	268
43	110	266
44	112	263
45	115	261
46	119	261
47	121	259
48	124	256
49	126	253
50	128	250
51	131	248
52	134	247
53	137	244
54	139	241
55	142	238
56	144	235
57	147	234
58	150	232
59	153	230
60	155	227
61	158	224
62	160	222
63	163	220
64	166	218
65	169	215
66	171	212
67	173	209
68	176	207
69	179	205
70	182	203
71	185	201
72	188	198
73	191	196
74	193	193
75	196	191
76	197	187
77	200	184
78	203	182
79	205	179
80	208	177
81	211	175
82	214	173
83	217	170
84	219	167
85	221	164
86	224	162
87	226	159
88	228	156
89	231	154
90	233	151
91	235	148
92	238	146
93	240	143
94	243	140
95	246	138
96	249	136
97	251	133
98	254	130
99	256	128
100	259	126
101	263	123
102	265	121
103	267	118
104	270	115
105	272	113
106	275	110
107	278	108
108	280	105
109	282	102
110	285	100
111	287	97
112	290	95
113	293	92
114	295	90
115	297	87
116	300	84
117	302	82
118	305	79
119	308	77
120	311	74
121	314	72
122	316	69
123	318	66
124	321	64
125	324	61
126	327	59
127	329	56
128	331	53
129	333	51
130	336	48
131	340	46
132	343	43
133	345	41
134	347	38
135	350	36
136	352	33
137	356	31
138	359	28
139	361	25
140	364	23
141	366	20
142	368	18
143	372	15
144	375	12
145	377	10
146	379	7
147	382	5
148	384	2
149	388	0
