iter	Passed	Remaining
0	2	430
1	5	419
2	7	391
3	10	370
4	12	362
5	14	353
6	17	348
7	19	350
8	22	350
9	24	347
10	27	341
11	29	337
12	31	332
13	34	332
14	36	331
15	39	326
16	41	324
17	43	321
18	46	318
19	48	315
20	51	315
21	53	313
22	56	310
23	58	307
24	61	305
25	63	302
26	66	302
27	68	299
28	71	296
29	73	294
30	76	292
31	78	290
32	80	284
33	82	282
34	85	279
35	87	276
36	89	274
37	92	271
38	94	268
39	97	267
40	99	264
41	100	258
42	102	256
43	105	253
44	107	251
45	110	249
46	112	247
47	115	245
48	117	242
49	120	240
50	122	237
51	124	235
52	126	232
53	129	230
54	132	228
55	134	225
56	136	223
57	139	220
58	141	218
59	144	216
60	146	214
61	149	211
62	151	209
63	153	206
64	155	203
65	158	201
66	160	199
67	163	197
68	165	194
69	168	192
70	170	189
71	173	187
72	175	185
73	178	183
74	181	181
75	183	178
76	184	174
77	186	172
78	189	170
79	191	167
80	194	165
81	196	162
82	198	160
83	201	158
84	203	155
85	206	153
86	209	151
87	211	149
88	212	145
89	215	143
90	217	141
91	220	138
92	222	136
93	225	134
94	228	132
95	230	129
96	232	127
97	235	124
98	237	122
99	240	120
100	242	117
101	245	115
102	247	113
103	250	110
104	252	108
105	254	105
106	257	103
107	259	101
108	262	98
109	264	96
110	266	93
111	269	91
112	271	88
113	274	86
114	276	84
115	279	81
116	281	79
117	284	77
118	287	74
119	289	72
120	292	70
121	294	67
122	297	65
123	299	62
124	302	60
125	304	58
126	307	55
127	309	53
128	312	50
129	314	48
130	316	45
131	319	43
132	322	41
133	324	38
134	326	36
135	329	33
136	331	31
137	334	29
138	336	26
139	339	24
140	341	21
141	343	19
142	346	16
143	348	14
144	351	12
145	354	9
146	357	7
147	359	4
148	361	2
149	364	0
