year,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price
2015,41000,0,1,3,19.67,1582.0,126.2,5.0,14021.312394840155
2011,46000,1,1,3,13.0,1199.0,88.7,5.0,5047.672462142456
2012,87000,0,1,3,20.77,1248.0,88.76,7.0,6730.229949523275
2013,40670,0,0,2,15.2,1968.0,140.8,5.0,19899.046550757146
2013,86999,0,1,3,23.08,1461.0,63.1,5.0,3925.967470555244
2016,36000,0,0,3,11.36,2755.0,171.5,8.0,19629.83735277622
2013,64430,0,1,3,20.54,1598.0,103.6,5.0,5832.865956253505
2012,65932,0,1,2,22.3,1248.0,74.0,5.0,2187.3247335950646
2018,25692,1,1,3,21.56,1462.0,103.25,5.0,11160.964666292763
2012,60000,1,0,3,16.8,1497.0,116.3,5.0,5036.4554122265845
2015,64424,0,1,3,25.2,1248.0,74.0,5.0,6281.54795288839
2014,72000,0,0,3,12.7,2179.0,187.7,5.0,30286.03477285474
2012,85000,0,0,2,0.0,2179.0,115.0,5.0,19629.83735277622
2014,110000,0,1,3,13.5,2477.0,175.56,7.0,16825.574873808186
2016,58950,0,1,3,25.8,1498.0,98.6,5.0,6057.206954570947
2017,25000,0,1,3,28.4,1248.0,74.0,5.0,6719.012899607403
2014,77469,0,1,3,20.45,1461.0,83.8,5.0,7111.609646662927
2014,78500,0,0,3,14.84,2143.0,167.62,5.0,31407.73976444195
2014,32982,0,0,3,22.69,1995.0,190.0,5.0,20807.62759394279
2015,55392,0,1,2,23.65,1248.0,88.5,5.0,9254.066180594504
2015,55985,1,0,3,13.53,1984.0,177.01,5.0,26360.067302299492
2010,45807,1,1,3,18.5,1197.0,80.0,5.0,2097.5883342680872
2010,33000,1,0,3,14.4,1598.0,103.6,5.0,3196.8592260235555
2012,51920,1,1,3,16.8,1497.0,116.3,5.0,4767.246214245653
2012,54000,0,1,3,16.48,1461.0,63.1,5.0,4767.246214245653
2013,54000,1,1,2,20.92,998.0,67.1,5.0,3084.6887268648343
2018,37430,1,1,3,17.5,1199.0,88.7,5.0,11104.879416713404
2013,62000,0,1,3,19.01,1461.0,108.45,5.0,8693.213684800898
2012,87615,1,1,3,14.53,1798.0,138.1,5.0,7571.508693213685
2013,72000,0,0,2,11.18,2696.0,184.0,7.0,14021.312394840155
2010,35000,0,0,3,12.4,2698.0,179.5,5.0,12899.607403252943
2014,55431,1,1,2,16.09,1598.0,103.5,5.0,7829.500841278743
2009,83816,1,1,2,14.0,1061.0,64.0,5.0,2075.154234436343
2018,50075,0,1,3,24.3,1248.0,88.5,5.0,9680.314077397645
2017,52000,1,1,3,18.15,1198.0,82.0,5.0,5440.26920919798
2013,85000,0,0,3,11.74,2987.0,254.8,5.0,31407.73976444195
2013,62000,0,1,3,22.07,1199.0,73.9,5.0,5608.5249579360625
2008,90000,1,1,2,19.7,796.0,46.3,5.0,1402.1312394840156
2014,19698,1,1,3,25.4,624.0,37.5,4.0,1716.2086371284352
2017,22033,0,1,3,25.32,1198.0,77.0,6.0,6259.113853056646
2014,35487,1,1,3,18.5,1197.0,82.9,5.0,5316.8816601233875
2014,46374,1,0,3,14.62,1999.0,149.92,5.0,9927.089175546831
2016,52001,1,0,3,14.28,1798.0,138.03,5.0,11340.437464946719
2008,58005,0,1,2,14.9,1991.0,112.2,5.0,4767.246214245653
2012,70704,1,1,3,11.25,2694.0,163.7,7.0,12282.669657879977
2014,75000,0,1,3,24.4,1120.0,71.0,5.0,4318.5642176107685
2012,75800,0,1,2,16.55,2498.0,105.0,6.0,6169.377453729669
2015,13648,0,0,3,17.11,1968.0,174.33,5.0,24038.137969713964
2014,52000,0,1,3,22.9,1248.0,74.0,5.0,4767.246214245653
2014,53000,0,1,3,17.8,1248.0,75.0,5.0,3701.6264722378014
2013,65650,0,1,3,28.4,1248.0,74.0,5.0,4318.5642176107685
2015,54000,1,1,1,18.9,1197.0,82.0,5.0,4038.137969713965
2015,39000,1,1,3,15.04,1598.0,103.2,5.0,4475.6029164329775
2017,16542,1,1,3,25.17,799.0,53.3,5.0,3701.6264722378014
2010,32000,1,1,3,20.36,1197.0,78.9,5.0,2321.9293325855297
2010,121812,0,0,3,9.49,1995.0,147.6,5.0,8693.213684800898
2010,39300,1,1,3,18.2,998.0,67.1,5.0,2523.836231071228
2017,22000,0,1,3,13.68,2393.0,147.8,8.0,18508.132361189007
2010,72000,0,1,3,20.0,1399.0,68.0,5.0,3084.6887268648343
2015,58000,1,0,3,11.74,1796.0,186.0,5.0,29949.523275378575
2011,65000,0,1,2,15.8,2148.0,170.0,5.0,11217.049915872125
2012,65664,0,0,3,16.55,1968.0,140.0,5.0,15143.01738642737
2007,63000,1,0,2,16.4,1497.0,78.0,5.0,2075.154234436343
2019,15369,0,0,3,0.0,1950.0,194.0,5.0,40011.21704991587
2016,63000,0,1,3,24.52,1248.0,88.5,7.0,9141.895681435783
2018,13000,0,1,3,22.1,1396.0,88.7,5.0,11777.902411665731
2008,73000,1,0,3,8.5,4806.0,500.0,5.0,16264.722378014581
2015,55729,0,1,3,15.1,2179.0,140.0,7.0,10824.4531688166
2012,45178,1,0,3,16.95,1197.0,78.9,5.0,3903.5333707234995
2015,56066,0,1,3,19.64,1461.0,108.5,5.0,7762.19854178351
2016,37300,1,0,2,16.5,1198.0,86.8,5.0,7246.214245653393
2014,56000,0,0,2,18.53,1968.0,187.74,5.0,33090.29725182277
2012,104000,0,1,3,12.8,2494.0,102.0,7.0,13180.033651149746
2012,95100,0,1,3,22.9,1248.0,74.0,5.0,4206.393718452046
2017,70000,1,1,3,17.57,1193.0,88.7,5.0,5047.672462142456
2016,54944,1,1,3,18.0,1198.0,86.7,5.0,5406.618059450364
2012,70337,0,1,3,20.0,1399.0,68.0,5.0,3140.773976444195
2013,99638,0,1,3,23.2,1248.0,73.94,5.0,3488.502523836231
2009,52000,1,1,3,17.8,1497.0,117.3,5.0,3645.541222658441
2011,75000,0,0,2,16.73,1995.0,218.0,5.0,15591.699383062254
2009,95980,1,1,3,20.36,1197.0,78.9,5.0,2523.836231071228
2016,16000,1,1,3,18.9,1197.0,82.0,5.0,6449.803701626472
2016,18949,1,1,3,17.8,1198.0,86.7,5.0,5608.5249579360625
2014,107000,0,1,3,13.0,2982.0,168.5,7.0,18508.132361189007
2018,48367,0,0,3,17.68,1968.0,174.33,5.0,44397.08356702187
2013,57000,0,1,3,22.7,1498.0,89.84,5.0,6169.377453729669
2014,58000,0,1,3,15.1,2179.0,140.0,7.0,9085.810431856422
2015,30000,0,1,3,25.8,1498.0,98.6,5.0,3925.967470555244
2013,34212,0,1,3,22.07,1199.0,73.9,5.0,3129.556926528323
2010,70002,0,1,3,16.2,1493.0,110.0,5.0,3869.8822209758832
2016,62000,1,1,3,18.9,998.0,67.1,5.0,4991.587212563096
2010,62001,1,1,3,15.26,1598.0,103.5,5.0,2972.518227706113
2011,78958,0,1,2,23.0,1396.0,90.0,5.0,4262.478968031407
2014,30180,1,1,3,18.5,1197.0,82.85,5.0,5215.928210880539
2017,32851,1,1,3,19.83,1198.0,67.0,7.0,4430.73471676949
2010,30000,0,0,3,14.94,2967.0,241.4,5.0,10992.708917554684
2009,66000,1,1,2,17.0,1197.0,80.0,5.0,3028.6034772854737
2010,93850,1,1,3,14.0,796.0,35.0,5.0,2703.309029725182
2014,53000,1,1,3,17.71,1197.0,78.9,5.0,4374.649467190129
2011,78000,0,0,2,14.74,2993.0,270.9,5.0,26920.9197980931
2012,65000,0,1,2,16.0,2179.0,140.0,7.0,6449.803701626472
2014,40000,0,0,3,22.32,1582.0,126.32,5.0,5888.9512058328655
2017,30000,0,0,3,11.36,2755.0,171.5,7.0,21592.82108805384
2017,38053,1,1,3,15.1,1196.0,73.0,5.0,4385.866517106001
2014,25500,1,1,3,25.4,624.0,37.5,4.0,2411.665731912507
2015,56087,0,0,3,22.69,1995.0,190.0,5.0,23275.37857543466
2010,71088,1,1,3,13.5,1799.0,130.0,5.0,3757.711721817162
2014,55000,0,1,3,12.99,2494.0,100.6,7.0,12462.142456533931
2014,32700,0,0,3,23.3,1984.0,150.0,5.0,22434.09983174425
2016,39882,1,0,3,19.15,1198.0,75.94,5.0,7347.167694896242
2009,128000,1,0,3,10.8,2497.0,215.0,5.0,7851.934941110488
2016,55000,0,1,3,24.3,1248.0,88.5,5.0,8412.787436904093
2014,53753,0,0,2,15.0,2143.0,107.3,5.0,18788.55860908581
2018,10250,0,1,3,22.0,1582.0,126.2,5.0,12282.669657879977
2011,43874,1,1,3,18.9,998.0,67.1,5.0,2748.177229388671
2017,32684,1,0,3,21.9,624.0,37.48,4.0,3623.1071228266965
2014,42000,0,1,3,12.05,2179.0,120.0,8.0,8693.213684800898
2009,28352,1,0,3,11.7,1796.0,178.0,5.0,10487.941671340437
2007,47700,1,1,2,10.8,2354.0,152.0,5.0,5888.9512058328655
2015,55000,0,0,3,21.21,1498.0,103.2,5.0,8132.361189007291
2017,44285,1,1,3,20.73,1373.0,91.1,5.0,8379.136287156478
2016,54000,0,0,3,16.0,2179.0,140.0,7.0,14862.591138530566
2016,30232,1,1,3,21.1,1197.0,85.8,5.0,6517.106001121704
2014,88500,1,1,3,24.07,998.0,67.1,5.0,2916.4329781267525
2017,13372,1,0,3,19.0,2996.0,362.07,2.0,60572.06954570948
2019,12645,1,0,3,17.0,1591.0,121.3,5.0,12899.607403252943
2010,94385,1,1,2,19.7,796.0,46.3,5.0,1794.72798653954
2015,31821,0,0,3,20.58,1995.0,143.0,5.0,19315.759955131798
2015,12000,1,0,3,19.0,1199.0,88.7,5.0,6730.229949523275
2012,88578,1,1,3,13.5,1799.0,130.0,5.0,4430.73471676949
2014,44965,0,0,3,19.27,2143.0,170.0,5.0,20134.604598990463
2014,45044,0,1,3,25.8,1498.0,98.6,5.0,4150.308468872686
2016,34204,1,1,3,22.0,1197.0,81.8,5.0,6090.858104318564
